Rarity,Item,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN ST,MW ST,FT ST,WW ST,BS ST
Covert,AK-47 Asiimov,0.05,0.7,7/4/2023 00:02:26,EUR,229.93,51.83,31.16,33.00,22.07,708.85,118.75,60.48,77.97,48.82
Covert,AWP Neo-Noir,0,0.5,7/4/2023 00:02:38,EUR,39.17,31.14,25.24,24.24,20.57,99.72,73.93,49.86,54.35,46.81
Classified,Desert-Eagle Mecha Industries,0.15,0.6,7/4/2023 00:01:47,EUR,9.50,5.52,3.74,4.28,3.26,22.74,12.65,8.90,10.55,7.65
Classified,MP5-SD Phosphor,0,0.8,7/4/2023 00:02:59,EUR,9.01,5.40,3.37,3.42,2.70,21.78,12.12,6.06,6.28,6.33
Classified,UMP-45 Momentum,0,0.5,7/4/2023 00:02:10,EUR,8.23,4.87,3.45,3.48,3.13,21.36,11.46,5.92,6.49,7.00
Restricted,USP-S Flashback,0,0.5,7/4/2023 00:04:52,EUR,1.21,0.66,0.45,0.55,0.53,3.50,1.80,1.30,2.05,2.07
Restricted,P250 Nevermore,0,0.4,7/4/2023 00:01:31,EUR,1.26,0.73,0.43,0.52,null,3.34,1.59,0.95,1.87,null
Restricted,MAC-10 Pipe Down,0,0.9,7/4/2023 00:04:54,EUR,1.48,0.69,0.42,0.36,0.32,4.91,1.61,0.81,0.77,0.69
Restricted,Galil-AR Signal,0,0.5,7/4/2023 00:01:57,EUR,1.11,0.69,0.43,0.44,0.42,3.16,1.47,0.88,1.37,1.12
Restricted,G3SG1 Scavenger,0,0.65,7/4/2023 00:05:08,EUR,1.19,0.70,0.43,0.43,0.34,2.99,1.57,0.88,0.73,0.67
Mil-Spec,M4A4 Magnesium,0.3,0.5,7/4/2023 00:01:17,EUR,null,null,3.00,2.00,1.00,null,null,6.00,4.00,2.00
Mil-Spec,Tec-9 Fubar,0.05,0.4,7/4/2023 00:01:28,EUR,10.00,5.00,3.00,2.00,null,20.00,10.00,6.00,4.00,null
Mil-Spec,Glock-18 Oxide Blaze,0.05,0.3,7/4/2023 00:00:44,EUR,10.00,5.00,3.00,null,null,20.00,10.00,6.00,null,null
Mil-Spec1,MP9 Modest Threat,0.05,0.14,7/3/2023 23:59:56,EUR,10.00,5.00,null,null,null,null,1.18,0.44,0.22,0.21
Mil-Spec1,SG-553 Danger Close,0.02,0.8,7/4/2023 00:02:09,EUR,0.22,0.11,0.07,0.07,0.06,1.08,0.24,0.12,0.16,0.11
Mil-Spec1,Sawed-Off Black Sand,0,0.9,7/4/2023 00:00:21,EUR,0.25,0.11,0.07,0.06,0.06,0.87,0.25,0.13,0.10,0.10
Mil-Spec1,Nova Wood Fired,0,0.75,7/4/2023 00:01:33,EUR,0.21,0.11,0.07,0.07,0.06,0.70,0.26,0.12,0.17,0.12